------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 0, Fitness: 5847.00, Best Genome: e\w\w, Time Elapsed 3.89
Generation 1, Fitness: 5847.00, Best Genome: e\w\w, Time Elapsed 5.24
Generation 2, Fitness: 5847.00, Best Genome: e\w\w, Time Elapsed 7.80
Generation 3, Fitness: 5847.00, Best Genome: e\w\w, Time Elapsed 6.84
Generation 4, Fitness: 5847.00, Best Genome: e\w\w, Time Elapsed 6.62
Generation 5, Fitness: 5814.00, Best Genome: \w\w , Time Elapsed 7.72
Generation 6, Fitness: 5715.00, Best Genome: \w\w.., Time Elapsed 13.41
Generation 7, Fitness: 5715.00, Best Genome: \w\w.., Time Elapsed 8.32
Generation 8, Fitness: 5715.00, Best Genome: \w\w.., Time Elapsed 11.42
Generation 9, Fitness: 5715.00, Best Genome: \w\w.., Time Elapsed 8.90
Generation 10, Fitness: 5715.00, Best Genome: \w\w.., Time Elapsed 10.90
Generation 11, Fitness: 5715.00, Best Genome: \w\w.., Time Elapsed 7.71
Generation 12, Fitness: 5715.00, Best Genome: \w\w.., Time Elapsed 9.80
Generation 13, Fitness: 5715.00, Best Genome: \w\w.., Time Elapsed 15.71
Generation 14, Fitness: 5637.00, Best Genome: \w\w\w., Time Elapsed 15.00
Generation 15, Fitness: 5637.00, Best Genome: \w\w\w., Time Elapsed 15.11
Generation 16, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 18.97
Generation 17, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 15.76
Generation 18, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 26.77
Generation 19, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 21.45
Generation 20, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 15.45
Generation 21, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 16.39
Generation 22, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 10.70
Generation 23, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 17.04
Generation 24, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 23.47
Generation 25, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 20.95
Generation 26, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 16.60
Generation 27, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 15.56
Generation 28, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 13.76
Generation 29, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 16.06
Generation 30, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 17.70
Generation 31, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 15.68
Generation 32, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 13.32
Generation 33, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 10.48
------------------------- 
Mean Num Genes: 1 Mean Gene Length: 4 
 -------------------------
Generation 0, Fitness: 5507.00, Best Genome: \w\w\w.., Time Elapsed 3.13
Generation 1, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 4.07
Generation 2, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 4.94
Generation 3, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 6.03
Generation 4, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 6.60
Generation 5, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 6.71
Generation 6, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 7.28
Generation 7, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 7.73
Generation 8, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 8.00
Generation 9, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 9.64
Generation 10, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 9.29
