------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 0, Fitness: 5861.00, Best Genome: \w\w , Time Elapsed 10.86
Generation 1, Fitness: 5742.00, Best Genome: .\w\w , Time Elapsed 9.53
Generation 2, Fitness: 5742.00, Best Genome: .\w\w , Time Elapsed 12.91
Generation 3, Fitness: 5742.00, Best Genome: .\w\w , Time Elapsed 13.36
Generation 4, Fitness: 5742.00, Best Genome: .\w\w , Time Elapsed 15.14
Generation 5, Fitness: 5742.00, Best Genome: .\w\w , Time Elapsed 14.83
Generation 6, Fitness: 5742.00, Best Genome: .\w\w , Time Elapsed 14.61
Generation 7, Fitness: 5742.00, Best Genome: .\w\w , Time Elapsed 15.86
Generation 8, Fitness: 5725.00, Best Genome: \w\w\w , Time Elapsed 11.02
Generation 9, Fitness: 5725.00, Best Genome: \w\w\w , Time Elapsed 12.01
Generation 10, Fitness: 5725.00, Best Genome: \w\w\w , Time Elapsed 11.80
Generation 11, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 14.12
Generation 12, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 12.84
Generation 13, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 13.71
Generation 14, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 13.34
Generation 15, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 13.35
Generation 16, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 14.65
Generation 17, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 14.30
Generation 18, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 14.39
Generation 19, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 15.63
Generation 20, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 19.11
------------------------- 
Mean Num Genes: 1 Mean Gene Length: 4 
 -------------------------
Generation 0, Fitness: 5754.00, Best Genome: .\w \w, Time Elapsed 4.58
Generation 1, Fitness: 5743.00, Best Genome: \w\w+, Time Elapsed 5.71
Generation 2, Fitness: 5743.00, Best Genome: \w\w+, Time Elapsed 7.47
Generation 3, Fitness: 5743.00, Best Genome: \w\w+, Time Elapsed 8.92
Generation 4, Fitness: 5743.00, Best Genome: \w\w+, Time Elapsed 9.83
Generation 5, Fitness: 5743.00, Best Genome: \w\w+, Time Elapsed 11.58
Generation 6, Fitness: 5743.00, Best Genome: \w\w+, Time Elapsed 11.74
Generation 7, Fitness: 5743.00, Best Genome: \w\w+, Time Elapsed 11.66
Generation 8, Fitness: 5595.00, Best Genome: \w\w\w\w , Time Elapsed 11.62
Generation 9, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 12.00
Generation 10, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 13.07
Generation 11, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 13.46
Generation 12, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 16.11
Generation 13, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 16.75
Generation 14, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 19.05
Generation 15, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 18.61
Generation 16, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 18.77
Generation 17, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 17.66
Generation 18, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 19.59
Generation 19, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 18.99
Generation 20, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 18.94
Generation 21, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 20.77
Generation 22, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 18.03
Generation 23, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 16.65
Generation 24, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 21.37
Generation 25, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 30.27
Generation 26, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 27.36
Generation 27, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 27.48
Generation 28, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 34.33
Generation 29, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 25.52
Generation 30, Fitness: 5332.00, Best Genome: \w\w\w\w+, Time Elapsed 26.47
------------------------- 
Mean Num Genes: 1 Mean Gene Length: 6 
 -------------------------
Generation 0, Fitness: 6061.00, Best Genome: \w |a-za-z, Time Elapsed 4.84
Generation 1, Fitness: 5754.00, Best Genome: \w.. , Time Elapsed 6.76
Generation 2, Fitness: 5754.00, Best Genome: \w.. , Time Elapsed 5.13
Generation 3, Fitness: 5707.00, Best Genome: a\w..|A-Z, Time Elapsed 5.60
Generation 4, Fitness: 5647.00, Best Genome: \w.\w.., Time Elapsed 7.51
Generation 5, Fitness: 5647.00, Best Genome: \w.\w.., Time Elapsed 10.52
Generation 6, Fitness: 5647.00, Best Genome: \w.\w.., Time Elapsed 12.69
Generation 7, Fitness: 5647.00, Best Genome: \w.\w.., Time Elapsed 11.99
Generation 8, Fitness: 5647.00, Best Genome: \w.\w.., Time Elapsed 17.50
Generation 9, Fitness: 5647.00, Best Genome: \w.\w.., Time Elapsed 21.74
Generation 10, Fitness: 5617.00, Best Genome: \w.\w. , Time Elapsed 17.76
Generation 11, Fitness: 5617.00, Best Genome: \w.\w. , Time Elapsed 18.36
Generation 12, Fitness: 5617.00, Best Genome: \w.\w. , Time Elapsed 22.85
Generation 13, Fitness: 5617.00, Best Genome: \w.\w. , Time Elapsed 29.24
Generation 14, Fitness: 5617.00, Best Genome: \w.\w. , Time Elapsed 19.57
Generation 15, Fitness: 5577.00, Best Genome: \w.\w.\w, Time Elapsed 23.32
Generation 16, Fitness: 5577.00, Best Genome: \w.\w.\w, Time Elapsed 17.62
Generation 17, Fitness: 5577.00, Best Genome: \w.\w.\w, Time Elapsed 22.60
Generation 18, Fitness: 5415.00, Best Genome: \w\w\w\w., Time Elapsed 20.67
Generation 19, Fitness: 5415.00, Best Genome: \w\w\w\w., Time Elapsed 21.33
Generation 20, Fitness: 5415.00, Best Genome: \w\w\w\w., Time Elapsed 20.96
Generation 21, Fitness: 5415.00, Best Genome: \w\w\w\w., Time Elapsed 20.97
Generation 22, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 19.96
Generation 23, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 21.53
Generation 24, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 21.29
Generation 25, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 20.82
Generation 26, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 26.69
Generation 27, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 24.58
Generation 28, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 21.08
Generation 29, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 20.99
Generation 30, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 18.58
Generation 31, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 20.52
Generation 32, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 21.92
Generation 33, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 22.33
Generation 34, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 23.90
Generation 35, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 21.63
Generation 36, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 22.33
Generation 37, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 23.90
Generation 38, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 22.18
Generation 39, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 24.13
Generation 40, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 23.78
Generation 41, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 22.45
Generation 42, Fitness: 5332.00, Best Genome: \w+\w\w\w, Time Elapsed 23.20
------------------------- 
Mean Num Genes: 2 Mean Gene Length: 2 
 -------------------------
Generation 0, Fitness: 5845.00, Best Genome: .. ., Time Elapsed 7.02
Generation 1, Fitness: 5845.00, Best Genome: .. ., Time Elapsed 8.47
Generation 2, Fitness: 5751.00, Best Genome: \w\w.\w, Time Elapsed 9.90
Generation 3, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 11.10
Generation 4, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 11.47
Generation 5, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 11.74
Generation 6, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 12.69
Generation 7, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 11.82
Generation 8, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 14.11
Generation 9, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 13.30
