------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 0, Fitness: 5925.00, Best Genome: .a, Time Elapsed 2.22
Generation 1, Fitness: 5710.00, Best Genome: [^.]\w \w, Time Elapsed 2.35
Generation 2, Fitness: 5686.00, Best Genome: \w\w \w, Time Elapsed 2.56
Generation 3, Fitness: 5686.00, Best Genome: \w\w \w, Time Elapsed 2.59
Generation 4, Fitness: 5686.00, Best Genome: \w\w \w, Time Elapsed 2.91
Generation 5, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 3.04
Generation 6, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 3.58
Generation 7, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 3.38
Generation 8, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 3.50
Generation 9, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 3.41
Generation 10, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 4.06
Generation 11, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 3.71
Generation 12, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 3.83
Generation 13, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 3.96
Generation 14, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 3.93
Generation 15, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 4.12
Generation 16, Fitness: 5425.00, Best Genome: \w+, Time Elapsed 3.75
Generation 17, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.35
Generation 18, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 3.93
Generation 19, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.42
Generation 20, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.17
Generation 21, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 3.99
Generation 22, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.17
Generation 23, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.27
Generation 24, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.18
Generation 25, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.11
Generation 26, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.20
Generation 27, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.29
Generation 28, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.19
Generation 29, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.41
Generation 30, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.20
Generation 31, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.34
Generation 32, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.20
Generation 33, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.26
Generation 34, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.19
Generation 35, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.41
Generation 36, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.40
Generation 37, Fitness: 5357.00, Best Genome: \w.\w.\w, Time Elapsed 4.78
